version,build,date,bullet_text,BUFF,NERF,BUG_FIX,NEW_CONTENT,QOL,GAMEPLAY,OTHER,label_count,IS_HEADER,LABEL_V5,LABEL_V6,LABEL_V7
2.5.3,70356,"January 28, 2026",Fixed an issue where the Executioner Monster Affix sound effect played continuously.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where certain Silent Chests in Nahantu did not count towards the Season Rank objective Test of Luck.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where Zagraal in the Dark Citadel didn't drop loot.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where some Tower bosses had significantly more health than others.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where an error would occur when trying to view the profile of a leaderboard entry and the player had a private profile.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where resetting a piece of masterworked gear did not unlock the Recycled Works challenge.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where the reward for defeating all the Lesser Evils at once was only given to the player who opened the chest in Local Co-op play.,0,1,1,0,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where other Divine Gifts could stop gaining experience if another Divine Gift was at Rank 5.,1,0,1,0,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed an issue where some cosmetic items would show as locked even though they were unlocked and usable.,0,0,1,1,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.3,70356,"January 28, 2026",Fixed various instances of Placeholder assets in the Wardrobe.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026","With the release of the Tower in this patch, we've made a ton of change since we initially had players dive in for the Season 11 PTR. This includes various Quality of Life improvements and bug fixes. The Tower will be releasing as a Beta so please continue to provide feedback! For more details on the Tower, you can read our blog",1,0,1,0,1,0,0,3,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Flails couldn’t be enchanted or drop with the following affixes:,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Paladins could become stuck while climbing.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Shield Charge could fail to hit enemies who were close to the player.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the player would get stuck in place if using Advance assigned to the right mouse button while March of the Stalwart was equipped.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Rite of Mercy upgrade for Holy Light made Paladins untargetable by Spiritborn's Toxic Skin Passive when playing in PvP.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Falling Star with the Freefall upgrade and Rally with the Words of Sacrifice upgrade didn't generate resolve when the Aspect of Valiance was equipped.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Aspect of Valiance could not be imprinted on the expected equipment slots.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Strength node next to the Ironclad Rare node in the Castle Paragon Board was magic instead of normal.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Renewal passive was granting healing instead of Fortify.,0,0,1,1,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the player could go out of bounds and get stuck when casting Falling Star towards a Fog Wall.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Screen Reader did not read the Paladin Unique Icon on items.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Spiritborn players could not use the Armory until after unlocking Spirt Halls.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026","Fixed an issue where the below balance changes to Spiritborn, introduced in Season of Infernal Chaos, were unintentionally reverted.",0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Screen Reader did not properly read out buttons in the Season Rank menu.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Hellfire Adherent boss in the Hellish Descent dungeon could leave the boss arena.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where quickly leaving boss arenas after entering minor boss arenas in Capstone Dungeons could allow players to circumvent the encounters.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Leave Dungeon ability could teleport the player back to the first floor of Vault of the Crucible instead of outside the Dungeon.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where enemies could endlessly spawn in the second floor of the Enclave of Darkness.,0,1,1,0,0,1,0,3,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where teleporting via the world map to the Hellish Descent dungeon took the player to the wrong location.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Guardian's Lair Portal in The Pit could spawn in an unreachable location.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Belial could be damaged before he fully spawned in The Pit.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Druid players could not use the Armory until they unlocked Spirt Boons.,0,0,1,1,1,0,0,3,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where previously earned renown rewards for extra potion charges still applied for some players.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026","Fixed an issue where Elite Monsters with the Soul Drinker Affix could scale indefinitely, becoming extremely large and eventually unkillable. Who knew drinking souls could be so good for bulking?",0,0,1,1,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where sometimes mounts would fail to break through barriers when using Spur.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Greater Affixes would lose their unique colored text after being upgraded through Masterworking.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the Boss Health Bar would be duplicated after it revived when fighting the Entwined Souls in Enclave of Darkness.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where Toughness did not display properly when comparing items.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where the visual effect for the Poison Enchanted affix could persist after the damaging effect was complete.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.2,70156,"January 12, 2026",Fixed an issue where players on controller could accidentally re-summon Azmodan when trying to collect loot after defeating him.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Paladins could not get a Strength affix from Sanctification.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Extra Damage for Justice Skills Tempering affix didn't apply properly.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the damage increase from Judgement Consumption granted by Virtuous Charge didn't properly apply.,1,0,1,0,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Arbiter of Justice did not benefit from Reach of the Law when Judgement of Uriel was equipped.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Seraph's Wings upgrade for Arbiter of Justice granted higher than intended movement speed.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Resolve Stacks from the Aspects of Dominance and Valiance could fall off randomly.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025","Fixed an issue where the gauge meter for Arbiter of Justice could stop draining, even though the buff itself reduced properly.",0,1,1,0,0,0,0,2,False,NERF,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Runes for the Paladin could not be randomly crafted at the Jeweler.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the initial questline to go through Kurast Undercity couldn't be completed for players in the eternal realm.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025","Fixed an issue where the Paladin quest,",0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Herald of Hatred pet would often turn unstoppable and run away from the player.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the objective to Speak to Sihek during the,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Screen Reader did not read all information in the Ensembles Tab in the Wardrobe.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the boss in the Hellish Descent could fully reset if the player entered specific locations in the boss arena.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the player could get stuck between the wall and the barrier in Enclave of Darkness.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the player respawned at the previous floor when dying during the boss encounter in Enclave of Darkness.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Azmodan's demon gate attack could spawn outside the boss arena in Breach of Sin.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where monsters could infinitely spawn in Breach of Sin.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where monsters spawned by Animus Carriers also dropped Animus.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Tortured Gifts failed to respawn if Helltide re-appeared in the same region where it was previously.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where access to Divine Gifts could be lost when playing in Local Co-Op.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Meteors spawned by the Essence of Hellfire could reflect Thorns damage back onto the player.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Sanctification Affix for adding quality could malfunction.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where Sorcerer's Flame Shield Enchantment would fail to activate if Flame Shield was equipped to the Skill Bar and Orsivane was equipped.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the visual and audio effects for the Essence of Squalor Divine Gift persisted in town.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Spectral Shiver Cosmetic bundle would be missing even if it was properly owned.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025","Fixed an issue where the Leaderboard was viewable, despite having no entries there.",0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where tempering Legendary Ancestral Armor required more material types than intended.,0,0,1,0,1,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.1,69864,"December 18, 2025",Fixed an issue where the Resolute Defender Challenge could be unlocked when not playing as a Paladin.,0,0,1,1,0,0,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where Duriel maggots spawned in Helltide spawned experience motes at inappropriate times.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where the Luminary in Unseen Awakening didn't respawn after the player died.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where Sweltering Heat in the Torrid Menagerie could cause the player to damage themself.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where the Leave Dungeon action didn't take the player out of the Dungeon when in the Torrid Menagerie.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where the Sins of the Many Capstone dungeon could not be exited without logging out.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025","Fixed an issue where if you defeated Belial when he appeared after defeating Varshan, he wouldn't drop items as expected.",0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where the unavoidable blood orb explosions in the second phase of the Echo of Lilith fight dealt more damage than intended.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where monsters could stop spawning unexpectedly in Kor Dragan Stronghold.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where the last enemy could fail to spawn to complete the Enroaching Thickets objective in the Raethwind Wilds.,0,0,1,0,0,1,0,2,False,BUGFIX,BUGFIX,BUGFIX
2.5.0,69713,"December 11, 2025",Fixed an issue where having the objective to defeat the Blood Maiden was impossible to complete due to Duriel replacing the Blood Maiden in Helltide.,0,0,1,0,0,0,0,1,False,BUGFIX,BUGFIX,BUGFIX
